user_id,estado,data_cadastro,valor_ultima_compra
user_00000,MG,2023-08-15 20:35:15.471168,151.78
user_00001,PE,2023-08-15 20:35:15.471168,36.15
user_00002,RS,2023-08-15 20:35:15.471168,175.95
user_00003,BA,2023-08-15 20:35:15.471168,508.15
user_00004,SP,2023-08-16 20:35:15.471168,376.19
user_00005,SP,2023-08-16 20:35:15.471168,344.66
user_00006,SP,2023-08-16 20:35:15.471168,195.59
user_00007,GO,2023-08-16 20:35:15.471168,87.95
user_00008,PR,2023-08-16 20:35:15.471168,369.53
user_00009,RS,2023-08-16 20:35:15.471168,125.53
user_00010,SP,2023-08-16 20:35:15.471168,1115.9505608844574
user_00011,PE,2023-08-17 20:35:15.471168,386.22
user_00012,SC,2023-08-17 20:35:15.471168,153.77
user_00013,SP,2023-08-17 20:35:15.471168,150.04
user_00014,SP,2023-08-17 20:35:15.471168,227.16
user_00015,SP,2023-08-17 20:35:15.471168,202.03
user_00016,MG,2023-08-17 20:35:15.471168,597.93
user_00017,RJ,2023-08-17 20:35:15.471168,284.05
user_00018,RJ,2023-08-18 20:35:15.471168,136.28
user_00019,MG,2023-08-18 20:35:15.471168,1023.3489089425566
user_00020,PR,2023-08-18 20:35:15.471168,254.54
user_00021,SP,2023-08-18 20:35:15.471168,452.63
user_00022,MG,2023-08-18 20:35:15.471168,150.42
user_00023,MG,2023-08-19 20:35:15.471168,327.17
user_00024,RJ,2023-08-19 20:35:15.471168,313.84
user_00025,SC,2023-08-19 20:35:15.471168,53.96
user_00026,SP,2023-08-19 20:35:15.471168,1472.594289879772
user_00027,RJ,2023-08-20 20:35:15.471168,687.12
user_00028,BA,2023-08-20 20:35:15.471168,178.08
user_00029,SP,2023-08-20 20:35:15.471168,101.31
user_00030,PR,2023-08-20 20:35:15.471168,323.13
user_00031,SP,2023-08-21 20:35:15.471168,262.27
user_00032,SP,2023-08-21 20:35:15.471168,325.23
user_00033,DF,2023-08-21 20:35:15.471168,285.22
user_00034,PE,2023-08-21 20:35:15.471168,366.86
user_00035,SC,2023-08-21 20:35:15.471168,778.87
user_00036,MG,2023-08-21 20:35:15.471168,385.48
user_00037,SP,2023-08-21 20:35:15.471168,105.67
user_00038,PR,2023-08-21 20:35:15.471168,727.82
user_00039,RJ,2023-08-22 20:35:15.471168,909.13
user_00040,SP,2023-08-22 20:35:15.471168,1156.867629422327
user_00041,RJ,2023-08-22 20:35:15.471168,99.6
user_00042,SP,2023-08-22 20:35:15.471168,297.17
user_00043,DF,2023-08-23 20:35:15.471168,46.26
user_00044,MG,2023-08-23 20:35:15.471168,380.89
user_00045,PR,2023-08-23 20:35:15.471168,157.82
user_00046,MG,2023-08-23 20:35:15.471168,1221.2945116622293
user_00047,RJ,2023-08-23 20:35:15.471168,131.67
user_00048,RJ,2023-08-23 20:35:15.471168,63.35
user_00049,SP,2023-08-23 20:35:15.471168,167.84
user_00050,PE,2023-08-24 20:35:15.471168,50.38
user_00051,RS,2023-08-24 20:35:15.471168,446.25
user_00052,DF,2023-08-24 20:35:15.471168,46.9
user_00053,GO,2023-08-24 20:35:15.471168,250.33
user_00054,BA,2023-08-24 20:35:15.471168,46.42
user_00055,DF,2023-08-24 20:35:15.471168,189.38
user_00056,SP,2023-08-24 20:35:15.471168,911.15
user_00057,SP,2023-08-24 20:35:15.471168,326.53
user_00058,SP,2023-08-24 20:35:15.471168,122.63
user_00059,MG,2023-08-24 20:35:15.471168,238.66
user_00060,MG,2023-08-24 20:35:15.471168,248.24
user_00061,MG,2023-08-24 20:35:15.471168,357.13
user_00062,SC,2023-08-25 20:35:15.471168,81.98
